bat
78.63 55.15 53.3 78.16
77.86 55.17 52.64 77.42
77.1 54.62 51.76 76.57
77.86 54.14 52.33 77.35
78.63 55.27 53.5 78.0
77.86 53.72 52.04 77.42
77.86 54.81 52.39 77.36
77.86 53.66 51.83 77.34
78.63 55.27 53.5 78.0
76.34 53.01 50.05 75.78
1 0.001 [500] 0.01
77.86 0.68
54.48 0.76
52.33 0.98
77.34 0.68
uat
57.9 25.25 25.29 54.26
56.72 26.17 25.68 56.08
58.82 26.6 25.31 58.45
55.38 24.78 24.62 53.95
58.66 27.16 26.87 57.07
56.39 25.34 23.63 56.19
57.82 25.63 27.14 55.56
56.64 24.18 23.54 55.54
56.05 24.87 23.51 55.52
56.13 24.87 24.13 55.37
3 0.01 [500] 0.01
57.05 1.11
25.49 0.87
24.97 1.26
55.8 1.23
eat
57.89 34.01 27.36 58.05
58.9 34.47 28.1 59.06
57.14 34.0 27.5 57.24
57.89 34.07 27.16 58.15
57.89 34.19 27.51 58.06
57.89 34.69 28.01 58.16
57.39 34.1 27.48 57.6
58.4 34.24 27.59 58.6
58.15 34.36 27.67 58.47
57.14 33.5 26.85 57.51
7 1 [100] 0.01
57.87 0.52
34.16 0.3
27.52 0.35
58.09 0.52
